fund_id,fee_annual
equity_equal_weight,0.0005
equity_min_variance,0.002
equity_max_sharpe,0.0045
equity_risk_parity,0.003
crypto_equal_weight,0.0025
crypto_min_variance,0.0045
crypto_max_sharpe,0.0075
crypto_risk_parity,0.0055
combined_equal_weight,0.0015
combined_min_variance,0.003
combined_max_sharpe,0.0055
combined_risk_parity,0.004
defensive_equal_weight,0.002
defensive_risk_parity,0.0035
cyclical_equal_weight,0.002
cyclical_risk_parity,0.0035
growth_sensitive_equal_weight,0.0025
growth_sensitive_risk_parity,0.004
payments_equal_weight,0.0035
payments_risk_parity,0.005
web3infra_equal_weight,0.004
web3infra_risk_parity,0.0055
equity_min_variance_momentum,0.0085
equity_min_variance_contrarian,0.0085
combined_max_sharpe_vol_targeted,0.0075
crypto_max_sharpe_vol_targeted,0.0095
