fund,family,method,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,total_return,turnover,first_live_date,last_date
combined_equal_weight,combined,equal_weight,0.16220965273060803,0.21251687241172795,0.7632789382310537,-0.2874698799026544,0.5175255920297175,0.027777777777777776,2021-01-04,2023-12-29
combined_max_sharpe,combined,max_sharpe,0.14052623419379381,0.34825366532776453,0.4035168849164453,-0.5274040740928845,0.270019426007428,0.37489167780273625,2021-01-04,2023-12-29
combined_min_variance,combined,min_variance,0.07614899697158185,0.12787600251059192,0.5954909089785979,-0.18307272887219428,0.22519336515835198,0.07143714079767796,2021-01-04,2023-12-29
combined_risk_parity,combined,risk_parity,0.13532995439058676,0.172357891917133,0.7851683081367188,-0.22907572613511107,0.43322294739234657,0.03324598204343894,2021-01-04,2023-12-29
crypto_equal_weight,crypto,equal_weight,0.6211773608255854,0.8042210448398298,0.7723963017522132,-0.815973061425794,1.4162442566426043,0.027777777777777776,2021-01-01,2023-12-31
crypto_max_sharpe,crypto,max_sharpe,0.36511785083887965,0.7898907206602482,0.4622384353796276,-0.8541627958473264,0.16403754280804028,0.23535815502727286,2021-01-01,2023-12-31
crypto_min_variance,crypto,min_variance,0.43102038356024924,0.6430679261882235,0.6702563850682411,-0.7555478956991016,0.9574018281331205,0.05313723702062,2021-01-01,2023-12-31
crypto_risk_parity,crypto,risk_parity,0.6196796904772534,0.7875178154435011,0.786877043699986,-0.8041882589115523,1.5043207064572015,0.03378598349558062,2021-01-01,2023-12-31
cyclical_equal_weight,cyclical,equal_weight,0.12544443132677113,0.1862124654540643,0.6736629098427157,-0.25886235781971667,0.381331350778102,0.027777777777777776,2021-01-04,2023-12-29
cyclical_risk_parity,cyclical,risk_parity,0.1074910429185059,0.17843239295322805,0.602418883362071,-0.26926251369399967,0.3147755936134309,0.03198819538077136,2021-01-04,2023-12-29
defensive_equal_weight,defensive,equal_weight,0.05113717200718622,0.14045987329260914,0.3640696151039245,-0.14298606180346418,0.131274900944661,0.027777777777777776,2021-01-04,2023-12-29
defensive_risk_parity,defensive,risk_parity,0.05966930190710769,0.13686516935548126,0.4359714176229017,-0.13905457013347122,0.16220818384550317,0.031244296860276896,2021-01-04,2023-12-29
equity_equal_weight,equity,equal_weight,0.1321404552043123,0.16166197477746672,0.817387362651039,-0.20321862626913634,0.42726033325760304,0.027777777777777776,2021-01-04,2023-12-29
equity_max_sharpe,equity,max_sharpe,0.15504831459137688,0.23723217803159996,0.6535720233143247,-0.38281096942977033,0.46135957870871525,0.33839582522442674,2021-01-04,2023-12-29
equity_min_variance,equity,min_variance,0.07614837328693201,0.12787601442313287,0.5954859762438507,-0.1830727288731392,0.2251910740088372,0.07143429989532127,2021-01-04,2023-12-29
equity_risk_parity,equity,risk_parity,0.10744780836793513,0.14989849017366474,0.7168038066524325,-0.19560008494872738,0.33305652227880556,0.03179089102973609,2021-01-04,2023-12-29
growth_sensitive_equal_weight,growth_sensitive,equal_weight,0.2220717702381599,0.21539990218810637,1.0309743318463862,-0.23275492483721727,0.8113367786541679,0.027777777777777776,2021-01-04,2023-12-29
growth_sensitive_risk_parity,growth_sensitive,risk_parity,0.16598846734318565,0.19614509430555527,0.8462534733833742,-0.22785637205208065,0.5502730915421321,0.03191060669576382,2021-01-04,2023-12-29
payments_equal_weight,payments,equal_weight,0.527469006521394,0.8831668248666732,0.5972473055710885,-0.8704170561228892,0.5113358569965507,0.027777777777777776,2021-01-01,2023-12-31
payments_risk_parity,payments,risk_parity,0.5179210320646332,0.8809957896057289,0.5878813930500371,-0.8720746736184979,0.4741361823488055,0.03371058978040631,2021-01-01,2023-12-31
web3infra_equal_weight,web3infra,equal_weight,0.7537536348527222,0.842787318466267,0.8943580644099257,-0.8017132089514818,2.274810613501155,0.027777777777777776,2021-01-01,2023-12-31
web3infra_risk_parity,web3infra,risk_parity,0.7627125223293774,0.8357895341801489,0.9125652944165483,-0.7925943773601138,2.423848668631627,0.03418776461760457,2021-01-01,2023-12-31
